star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
K2-233,3,4796,0.71,0.79,-0.082,4.53
K2-237,1,6099,1.38,1.23,0,4.27
K2-238,1,5630,1.59,1.19,0.34,4.11
K2-239,3,3420,0.36,0.4,-0.1,4.9
K2-24,2,5743,1.21,1.12,0.42,4.29
K2-240,2,3810,0.54,0.58,-0.1,4.7
K2-25,1,3207,0.2932,0.2634,0.15,4.944
K2-260,1,6367,1.69,1.39,-0.14,4.15
K2-261,1,5537,1.65,1.1,0.36,4.21
K2-263,1,5368,0.85,0.88,-0.08,4.51
K2-28,1,3290,0.28,0.201,0.332,4.93
K2-285,4,4975,0.787,0.83,0,4.4
K2-286,1,3926,0.62,0.64,0,4.7
K2-292,1,5725,1.09,1,0.07,4.33
K2-295,1,4444,0.7,0.74,0.14,4.63
K2-3,3,3896,0.56,0.6,-0.32,4.72
K2-30,1,5581,0.941,0.984,0.136,4.484
K2-315,1,3300,0.196,0.174,-0.24,5.094
K2-34,1,6149,1.58,1.226,0,4.2
K2-35,2,4680,0.72,0.76,0.04,4.56
K2-36,2,4924,0.74,0.8,-0.03,4.65
K2-37,3,5413,0.85,0.9,-0.03,4.52
K2-370,1,5377,0.971,0.984,0.018,4.454
K2-374,2,5789,0.907,0.731,-0.292,4.386
K2-376,1,5937,1.149,0.908,-0.176,4.275
K2-38,2,5731,1.06,1.03,0.26,4.38
K2-384,5,3623,0.348,0.33,0.068,4.874
K2-388,1,5367,0.897,0.842,0.124,4.456
K2-389,2,5782,1.084,0.802,-0.034,4.273
K2-390,1,5558,0.966,0.789,-0.116,4.368
K2-391,1,5543,0.566,0.757,-0.543,4.973
K2-392,1,5726,1.058,0.841,-0.238,4.314
K2-395,2,5007,0.783,0.952,-0.033,4.628
K2-396,2,5236,0.92,0.954,0.237,4.488
K2-397,1,5387,0.966,0.937,0.11,4.435
K2-398,2,5946,1.239,0.945,-0.257,4.227
K2-400,1,3578,0.382,0.374,-0.051,4.847
K2-401,1,4213,0.675,0.87,-0.098,4.719
K2-402,1,5716,1.28,0.944,-0.378,4.197
K2-403,1,5511,0.886,0.784,-0.162,4.439
K2-404,1,3748,0.552,0.552,0.005,4.695
K2-405,1,4927,0.765,1.034,0.132,4.685
K2-406,1,5784,0.961,0.798,-0.038,4.374
K2-407,2,5563,0.927,0.881,0.014,4.45
K2-408,1,5335,0.784,0.813,-0.171,4.559
K2-409,1,5742,1.228,0.886,-0.036,4.204
K2-415,1,3173,0.1965,0.1635,-0.13,5.066
K2-5,2,3930,0.57,0.61,-0.33,4.71
K2-60,1,5500,1.12,0.97,0.01,4.07
K2-8,2,4870,0.74,0.78,-0.02,4.52
K2-98,1,6120,1.311,1.074,-0.2,4.23
K2-99,2,5990,3.1,1.6,0.2,3.67
KELT-10,1,5948,1.209,1.112,0.09,4.319
KELT-14,1,5720,1.52,1.239,0.32,4.166
KELT-17,1,7454,1.645,1.635,-0.018,4.22
KELT-20,1,8720,1.565,1.76,-0.29,4.29
KELT-21,1,7598,1.638,1.458,-0.405,4.173
KELT-6,2,6102,1.58,1.085,-0.281,4.074
KELT-7,1,6789,1.732,1.535,0.139,4.149
KELT-8,1,5754,1.67,1.211,0.272,4.078
KOBE-1,2,4135,0.619,0.629,-0.01,5.07
KOI-134,2,6160,1.667,1.407,0.427,4.11
KPS-1,1,5165,0.907,0.892,0.22,4.47
Kepler-101,2,5667,1.56,1.17,0.33,4.12
Kepler-103,2,6047,1.492,1.212,0.15,4.17
Kepler-117,2,6150,1.606,1.129,-0.04,4.102
Kepler-1513,2,5491,0.95,0.943,0.17,4.46
Kepler-1654,1,5597,1.179,1.011,-0.088,4.3001
Kepler-1655,1,6148,1.03,1.03,-0.24,4.36
Kepler-186,5,3788,0.472,0.478,-0.28,4.77
Kepler-22,1,5518,0.979,0.97,-0.29,4.44
Kepler-278,2,4965,2.861,1.227,0.22,3.58
Kepler-39,1,6350,1.4,1.29,0.1,4.4
Kepler-391,2,5038,2.879,1.27,0.04,3.62
Kepler-40,1,6510,2.13,1.48,0.1,3.94
Kepler-407,2,5487,1.04,0.99,0.35,4.3
Kepler-41,1,5750,1.29,1.15,0.38,4.278
Kepler-412,1,5750,1.287,1.167,0.27,4.3
Kepler-421,1,5308,0.757,0.794,-0.25,4.61
Kepler-423,1,5560,0.95,0.85,-0.1,4.41
Kepler-425,1,5170,0.86,0.93,0.24,4.535
Kepler-426,1,5725,0.92,0.91,-0.21,4.471
Kepler-427,1,5800,1.35,0.96,-0.19,4.14
Kepler-428,1,5150,0.8,0.87,0.09,4.571
